"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"115","2016-07-25","2016-07-25_21:24:15.459",235.89731897845,169.189132734192,154.948169280636,183.430096187749
"116","2016-07-25","2016-07-25_21:24:16.015",289.169009749922,169.198001042829,154.870557690825,183.525444394832
"117","2016-07-25","2016-07-25_21:24:16.608",147.427974479339,169.207935108119,154.783255542507,183.632614673731
"118","2016-07-25","2016-07-25_21:24:17.237",170.333065264949,169.219018387086,154.686849934703,183.75118683947
"119","2016-07-25","2016-07-25_21:24:17.897",156.017268255294,169.231263630093,154.583182293529,183.879344966657
"120","2016-07-25","2016-07-25_21:24:18.526",148.348564069106,169.243531455832,154.483789884504,184.00327302716
"121","2016-07-25","2016-07-25_21:24:19.091",166.718476178097,169.255057191155,154.395560604741,184.11455377757
"122","2016-07-25","2016-07-25_21:24:19.604",152.587716921517,169.265943701147,154.31753393086,184.214353471435
"123","2016-07-25","2016-07-25_21:24:20.066",149.761611177629,169.27609617023,154.24988693869,184.30230540177
"124","2016-07-25","2016-07-25_21:24:21.114",146.935520802864,169.300371958333,154.11003034609,184.490713570576
"125","2016-07-25","2016-07-25_21:24:21.999",183.67589446793,169.322247726853,154.012297956653,184.632197497054
"126","2016-07-25","2016-07-25_21:24:22.279",166.718476178097,169.329436270085,153.986261628427,184.672610911743
"127","2016-07-25","2016-07-25_21:24:22.885",268.471285255894,169.34544114522,153.939253160607,184.751629129833
"128","2016-07-25","2016-07-25_21:24:23.210",166.718476178097,169.354278994788,153.919799475645,184.788758513931
"129","2016-07-25","2016-07-25_21:24:24.782",145.606730246561,169.399586510012,153.892106290484,184.907066729541
"130","2016-07-25","2016-07-25_21:24:26.358",187.216289999977,169.315091944934,153.838658890338,184.791524999531
"131","2016-07-25","2016-07-25_21:24:40.459",133.330003329422,162.691713718635,149.307942101639,176.075485335631
"132","2016-07-25","2016-07-25_21:24:41.160",138.31653926755,162.375760568555,149.076811344387,175.674709792723
"133","2016-07-25","2016-07-25_21:24:41.855",237.512040542548,162.089300719555,148.866341497213,175.312259941896
"134","2016-07-25","2016-07-25_21:24:42.516",139.62160685028,161.844735436885,148.686431111666,175.003039762103
"135","2016-07-25","2016-07-25_21:24:44.420",149.998971126976,161.319231497755,148.306340987683,174.332122007827
"136","2016-07-25","2016-07-25_21:24:45.049",133.330003329422,161.212657054038,148.235258289347,174.190055818729
"137","2016-07-25","2016-07-25_21:24:45.677",167.950842542168,161.143701801673,148.196154092678,174.091249510668
"138","2016-07-25","2016-07-25_21:24:46.312",153.84574175895,161.114603826268,148.19209215376,174.037115498776
"139","2016-07-25","2016-07-25_21:24:46.957",176.164975723197,161.129544926166,148.2277970281,174.031292824232
"140","2016-07-25","2016-07-25_21:24:47.627",156.587816378221,161.195469872974,148.31108613316,174.079853612788
"141","2016-07-25","2016-07-25_21:24:48.342",156.587816378221,161.325891327865,148.456308323382,174.195474332349
"142","2016-07-25","2016-07-25_21:24:49.667",151.367378752686,161.743986601221,148.895596358595,174.592376843848
"143","2016-07-25","2016-07-25_21:24:50.986",142.979287016963,162.407689813467,149.579050561698,175.236329065235
